artist,album,track,WC,Analytic,Clout,Authentic,Tone,WPS,BigWords,Dic,Linguistic,function,pronoun,ppron,i,we,you,shehe,they,ipron,det,article,number,prep,auxverb,adverb,conj,negate,verb,adj,quantity,Drives,affiliation,achieve,power,Cognition,allnone,cogproc,insight,cause,discrep,tentat,certitude,differ,memory,Affect,tone_pos,tone_neg,emotion,emo_pos,emo_neg,emo_anx,emo_anger,emo_sad,swear,Social,socbehav,prosocial,polite,conflict,moral,comm,socrefs,family,friend,female,male,Culture,politic,ethnicity,tech,Lifestyle,leisure,home,work,money,relig,Physical,health,illness,wellness,mental,substances,sexual,food,death,need,want,acquire,lack,fulfill,fatigue,reward,risk,curiosity,allure,Perception,attention,motion,space,visual,auditory,feeling,time,focuspast,focuspresent,focusfuture,Conversation,netspeak,assent,nonflu,filler,AllPunc,Period,Comma,QMark,Exclam,Apostro,OtherP,Emoji
The Front Bottoms,Rose,12 Feet Deep,396,1,81.31,64.74,51.32,99,4.8,97.22,83.59,65.66,22.98,18.69,8.84,4.8,4.55,0,0.25,4.29,10.35,1.52,1.01,11.36,18.69,8.59,9.6,2.27,31.57,4.8,4.8,6.31,5.81,0.51,0,14.65,3.54,11.11,0.76,3.03,4.8,1.01,0,1.77,0,4.04,3.03,1.01,0.76,0.76,0,0,0,0,0,13.38,2.27,0,0,0,1.01,0.25,11.11,0.51,0.51,0,0,0,0,0,0,4.29,0.76,1.52,2.02,0,0,6.06,1.01,0,0,0,0.76,0,0,0,1.52,0.25,2.27,0,0,0,0,0.25,0,14.65,13.38,0,1.77,8.33,2.02,0.25,1.52,3.54,2.78,10.35,6.57,1.01,0.25,0.76,0,0,13.38,1.52,4.04,0.25,0,7.07,0.51,0
The Front Bottoms,Rose,Awkward Conversations,300,7.74,88.56,69.95,16.44,100,13.67,91,78,62.67,23,17,6.33,1,8.67,1,0,6,12.67,4,0.33,11,12.33,6,7.67,1.33,24,6,2.67,3.33,2,0.67,1,15.67,2.67,13,3,1.33,3,0.67,0.33,3.67,0,3.33,1.33,1.67,0.33,0.33,0,0,0,0,0.33,14.33,2.67,0,0,0,0,1.67,11.67,0,0.33,0,1.67,0,0,0,0,2.67,0.33,2,0,0.33,0,3,2,0,0,0,2.33,0,0.67,0,0,2.33,1.33,0,0,0,0.33,0,0,8.67,12.33,0,2.33,8.33,0.33,0.33,2,1.33,4.33,5,2,1,0.67,0.33,0,0,7.67,1,1.67,0.33,0,4,0.67,0
The Front Bottoms,Rose,Be Nice To Me,342,3.25,59.2,99,28.01,48.86,12.87,96.2,80.7,60.23,26.32,19.3,9.65,3.22,5.56,0,0.88,7.02,9.94,4.97,0,8.77,13.16,6.73,6.14,2.34,25.44,8.48,2.34,5.56,3.8,1.46,0.29,14.33,1.75,12.57,2.63,1.46,2.63,0.88,0,4.09,0.29,4.97,2.63,2.05,1.17,0.29,0.58,0.29,0,0.29,0,14.91,4.39,0.29,0,0.58,0.29,2.92,10.53,0,0.58,0,0,0.29,0,0,0.29,1.75,0.88,0.58,0.29,0,0,1.46,0,0,0,0,0,0,0,0.29,1.17,0.58,0.29,0.29,0.29,0,0.29,0,0.29,7.31,16.67,0,6.73,7.02,1.46,0.58,1.17,4.68,3.8,10.23,1.17,0.88,0.29,0,0.58,0,16.67,0,5.26,1.75,0,7.89,1.75,0
The Front Bottoms,Rose,Flying Model Rockets,206,50.17,1.91,97.67,14.87,206,16.02,93.2,78.16,63.11,17.96,12.14,9.22,0.49,0.97,0,1.46,5.83,18.93,8.25,0.97,16.99,13.11,4.85,3.88,1.94,20.87,7.77,3.4,4.37,2.43,0.97,0.97,16.02,4.37,11.65,4.37,0,1.94,1.46,0,5.34,0,4.37,1.94,2.43,2.43,0.97,1.46,0,0.49,0,0.97,12.14,8.25,0.97,0,0,0,2.91,3.88,0.97,0,0,0.97,0.97,0,0,0.97,0.97,0,0.97,0,0,0,2.91,0.97,0.97,0,0,0,0,0,0,0,0,0.97,0,0,0,0,0.97,0.97,8.25,9.71,0.49,0.97,6.8,0.49,0,1.46,4.37,6.8,2.91,2.43,0.49,0,0,0.49,0,13.59,0,2.91,0,0,6.8,3.88,0
The Front Bottoms,Rose,Jim Bogart,351,1,87.78,20.98,77.5,351,5.7,97.15,80.91,73.5,29.91,19.66,5.98,2.85,7.41,1.42,1.99,10.26,11.97,2.85,0.28,9.97,19.37,5.13,8.83,5.13,24.79,2.28,2.85,4.27,3.13,1.14,0,18.23,3.13,14.81,0.85,0.28,5.98,4.84,0,3.99,0,3.7,3.7,0,1.42,1.42,0,0,0,0,0,17.95,3.7,0.28,0,0,0,1.99,14.25,0,0,1.14,0.28,0,0,0,0,1.99,0.57,0.57,0.57,0,0.28,7.12,5.13,0,0,0,0,0,0,0,0,1.14,0.28,0,0,0,0,0,0,6.84,4.27,0,1.14,2.56,0,0.28,0.28,6.55,3.99,9.12,2.56,0.57,0,0.57,0,0,14.25,0,5.41,0,0,5.41,3.42,0
The Front Bottoms,Rose,Lipstick Covered Magnet,429,11.5,37.38,68.31,3.37,61.29,6.53,98.14,78.32,62,23.78,17.48,10.26,1.17,3.26,2.1,0.7,6.29,12.59,5.36,0,14.92,17.25,2.8,7.69,1.17,30.3,3.73,2.33,2.56,2.1,0.23,0.23,9.09,2.8,6.29,1.63,1.63,2.33,0,0,0.93,0,6.53,2.1,4.43,2.1,0.47,1.63,0.7,0,0.7,0,15.85,8.16,1.4,1.17,0.7,0.47,4.66,7.46,0,0.23,1.86,0.23,0.47,0,0,0.47,1.63,1.17,0.23,0.23,0,0,8.39,2.33,1.4,0.23,0,0,0,0,0.93,0,0.7,2.33,0.23,0,0,0,0.23,0,10.72,9.79,0.23,3.03,5.59,0,1.17,1.17,3.73,3.03,10.72,5.36,1.86,1.86,0,0,0,14.22,0,2.33,1.4,0,8.62,1.86,0
The Front Bottoms,Talon Of The Hawk,Au Revoir (Adios),188,1,59.05,94.89,9.87,62.67,5.85,86.7,77.13,55.32,30.85,19.15,9.04,0,7.98,2.13,0,11.7,4.26,0,0,4.26,10.11,10.11,4.79,5.32,31.38,2.66,0,0,0,0,0,25,0,25,13.83,1.06,1.6,5.85,1.6,0.53,0,1.06,0,1.06,1.06,0,1.06,0,0,1.06,0,14.89,4.79,0,2.13,0,0,2.66,10.11,0,0,2.13,0,1.06,0,1.06,0,1.06,0,0,0,1.06,0,0,0,0,0,0,0,0,0,0,0,1.06,0,1.06,0,0,0,0,0,9.04,5.32,0,4.26,1.06,0,0.53,0,2.13,0.53,15.43,1.6,1.6,1.06,0,0,0.53,17.55,0,5.32,1.06,0,7.98,3.19,0
The Front Bottoms,Talon Of The Hawk,Backflip,413,22.81,9.54,95.3,41.68,413,8.72,91.53,79.18,60.53,19.13,15.01,10.65,0,2.66,0.48,0.97,4.12,15.74,7.26,0.73,10.9,8.96,7.51,6.78,2.18,19.13,6.78,4.36,2.91,1.21,1.69,0,13.8,2.18,11.62,4.36,1.94,3.63,1.69,0,2.18,0,3.87,2.66,1.21,1.21,0.48,0.73,0,0.24,0.48,0,8.72,3.39,0.24,0.24,0,0.48,2.42,5.33,0,0.97,0.24,0.97,0.48,0,0,0.48,0.73,0,0.48,0.24,0,0,1.69,0,0,0,0,0,0,0.24,0.24,0.24,0.24,0.48,0,0,0,0,0.73,0.24,11.14,13.32,0.24,1.69,7.99,2.66,0.24,0.97,4.6,0.73,7.75,2.66,1.69,0,0.48,1.21,0,11.14,0,6.3,0,0,3.87,0.97,0
The Front Bottoms,Talon Of The Hawk,Everything I Own,336,6.73,3.12,99,32.62,84,9.52,97.92,83.63,64.58,25.6,17.56,12.2,1.19,3.57,0,0,8.04,11.31,5.06,0,12.8,11.01,7.14,7.14,3.27,24.4,6.25,2.38,3.87,1.49,1.79,0.6,18.75,3.57,14.88,3.57,0.89,2.08,3.57,0.6,5.65,0,7.14,3.87,2.98,4.17,1.49,2.38,0,0,0.6,0,10.71,4.17,1.19,0.3,0,1.19,0.89,5.65,0,0,0,0,0,0,0,0,2.68,1.79,0.3,0,0,0.6,1.79,0.6,0.6,0,0,0,0,0,0,0.89,0.3,2.68,0,0,0.6,0,0,0,10.71,11.9,0.3,4.17,6.25,0.3,1.49,1.19,8.63,3.27,9.23,3.27,0.89,0.89,0,0,0,11.9,0,5.06,0.89,0,5.95,0,0
The Front Bottoms,Talon Of The Hawk,Funny You Should Ask,420,1,24.76,96.79,90.5,140,8.57,95.95,86.9,67.38,27.62,19.52,11.67,0.24,7.14,0.24,0.24,8.1,9.05,3.33,1.19,9.76,18.81,6.9,6.19,3.57,31.9,6.19,2.38,2.14,0.95,0.95,0.71,21.67,0.95,18.57,4.76,1.9,4.52,2.86,0,5.24,0.71,5.95,5.48,0.48,2.38,2.38,0,0,0,0,0,15.71,5.48,2.14,0,0.24,0,2.14,10.24,0.48,0.48,0.24,0,0.24,0,0.24,0,1.43,0.48,0.48,0.24,0.24,0,1.67,0,0,0,0,0.24,0.24,1.19,0,0.48,0.71,0.24,4.29,0,0,0,0,0,9.29,5.71,0.48,1.43,3.57,0.71,0.24,0.24,6.43,8.81,9.05,1.67,0.71,0.71,0,0,0,19.76,0,5.48,0,0.48,9.76,4.05,0
